游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,最终原始关卡标签,最高原始关卡标签,最长停留原始关卡标签,是否流失,首日到最终进度差
108973488,50~100,5.0,30.0,30.0,24,30.0,1.25,,105.0,215.0,215.0,8,215,2-15,2-15,2-15,False,25.0
108973555,1~7,8.0,10.0,10.0,3,10.0,3.3333333333333335,10.0,108.0,110.0,110.0,2,110,1-10,1-10,1-10,True,2.0
108973651,7~50,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106,1-06,1-06,1-06,True,0.0
108973676,1~7,9.0,19.0,19.0,5,19.0,3.8,19.0,109.0,204.0,204.0,3,204,2-04,2-04,2-04,True,10.0
108974193,7~50,,10.0,10.0,3,0.0,,10.0,107.0,110.0,110.0,1,107,1-10,1-10,1-07,True,
108975225,1~7,6.0,19.0,19.0,4,19.0,4.75,19.0,106.0,204.0,204.0,2,204,2-04,2-04,2-04,True,13.0
108976049,1~7,19.0,39.0,39.0,21,37.0,1.9473684210526316,29.0,204.0,309.0,309.0,5,309,3-09,3-09,3-09,True,20.0
108980753,1~7,13.0,67.0,67.0,8,67.0,8.375,,113.0,507.0,507.0,2,507,5-07,5-07,5-07,False,54.0
108981060,100~300,2.0,107.0,107.0,17,107.0,6.294117647058823,,102.0,802.0,802.0,3,710,8-02,8-02,7-10,False,105.0
108981750,1~7,12.0,30.0,30.0,9,30.0,3.3333333333333335,,112.0,215.0,215.0,3,209,2-15,2-15,2-09,False,18.0
108984015,7~50,22.0,23.0,23.0,5,23.0,5.75,22.0,207.0,208.0,208.0,2,207,2-08,2-08,2-07,True,1.0
108988227,100~300,19.0,20.0,20.0,6,20.0,5.0,20.0,204.0,205.0,205.0,2,205,2-05,2-05,2-05,True,1.0
108988692,7~50,19.0,74.0,74.0,23,74.0,3.3636363636363638,,204.0,514.0,514.0,6,514,5-14,5-14,5-14,False,55.0
108990555,1~7,6.0,7.0,7.0,2,6.0,6.0,7.0,106.0,107.0,107.0,1,106,1-07,1-07,1-06,True,1.0
108992304,7~50,9.0,45.0,45.0,12,45.0,3.75,,109.0,315.0,315.0,3,314,3-15,3-15,3-14,False,36.0
108996361,1~7,6.0,19.0,19.0,7,13.0,2.6,,106.0,204.0,204.0,2,204,2-04,2-04,2-04,False,13.0
109000315,100~300,20.0,82.0,82.0,24,82.0,3.4166666666666665,,205.0,607.0,607.0,6,607,6-07,6-07,6-07,False,62.0
