批次,游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,起始原始关卡标签,起始原始关卡序号,最高原始关卡标签,最高原始关卡序号,最终原始关卡标签,最终原始关卡序号,最长停留原始关卡标签,最长停留原始关卡序号,是否流失,首日到最终进度差
4.4-4.8,109072274,1~7,8.0,11.0,11.0,3,11.0,5.5,11.0,108.0,111.0,111.0,1,108.0,1-08,8.0,1-11,11.0,1-11,11.0,1-08,8.0,True,3.0
4.4-4.8,109072465,1~7,9.0,15.0,15.0,9,15.0,1.6666666666666667,,109.0,115.0,115.0,5,115.0,1-09,9.0,1-15,15.0,1-15,15.0,1-15,15.0,False,6.0
4.4-4.8,109072489,1~7,11.0,11.0,11.0,2,11.0,5.5,11.0,111.0,111.0,111.0,2,111.0,1-11,11.0,1-11,11.0,1-11,11.0,1-11,11.0,True,0.0
4.4-4.8,109072507,1~7,14.0,14.0,14.0,2,14.0,7.0,14.0,114.0,114.0,114.0,2,114.0,1-14,14.0,1-14,14.0,1-14,14.0,1-14,14.0,True,0.0
4.4-4.8,109072521,1~7,4.0,4.0,4.0,2,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109072553,1~7,12.0,13.0,13.0,4,12.0,6.0,12.0,112.0,113.0,113.0,2,112.0,1-12,12.0,1-13,13.0,1-13,13.0,1-12,12.0,True,1.0
4.4-4.8,109072560,1~7,8.0,17.0,17.0,4,17.0,4.25,17.0,108.0,202.0,202.0,2,112.0,1-08,8.0,2-02,17.0,2-02,17.0,1-12,12.0,True,9.0
4.4-4.8,109072656,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109072718,300~+∞,10.0,15.0,15.0,8,15.0,1.875,,110.0,115.0,115.0,3,115.0,1-10,10.0,1-15,15.0,1-15,15.0,1-15,15.0,False,5.0
4.4-4.8,109072835,7~50,10.0,14.0,14.0,4,14.0,3.5,14.0,110.0,114.0,114.0,3,114.0,1-10,10.0,1-14,14.0,1-14,14.0,1-14,14.0,True,4.0
4.4-4.8,109072847,1~7,7.0,14.0,14.0,4,12.0,4.0,14.0,107.0,114.0,114.0,2,112.0,1-07,7.0,1-14,14.0,1-14,14.0,1-12,12.0,True,7.0
4.4-4.8,109072961,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109073045,50~100,14.0,30.0,30.0,10,30.0,3.75,,114.0,215.0,215.0,3,115.0,1-14,14.0,2-15,30.0,2-15,30.0,1-15,15.0,False,16.0
4.4-4.8,109073070,1~7,12.0,12.0,12.0,5,12.0,3.0,12.0,112.0,112.0,112.0,4,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109073128,1~7,1.0,1.0,1.0,1,1.0,1.0,1.0,101.0,101.0,101.0,1,101.0,1-01,1.0,1-01,1.0,1-01,1.0,1-01,1.0,True,0.0
4.4-4.8,109073219,50~100,12.0,12.0,12.0,1,12.0,12.0,12.0,112.0,112.0,112.0,1,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109073325,1~7,5.0,5.0,5.0,1,5.0,5.0,5.0,105.0,105.0,105.0,1,105.0,1-05,5.0,1-05,5.0,1-05,5.0,1-05,5.0,True,0.0
4.4-4.8,109073469,7~50,12.0,12.0,12.0,2,12.0,6.0,12.0,112.0,112.0,112.0,2,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109073726,7~50,12.0,12.0,12.0,1,12.0,12.0,12.0,112.0,112.0,112.0,1,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
4.4-4.8,109073976,1~7,5.0,18.0,18.0,7,15.0,3.75,12.0,105.0,203.0,203.0,1,105.0,1-05,5.0,2-03,18.0,2-03,18.0,1-05,5.0,True,13.0
4.4-4.8,109074080,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
4.4-4.8,109074227,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
4.4-4.8,109074305,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109074440,1~7,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
4.4-4.8,109074446,1~7,9.0,14.0,14.0,2,14.0,7.0,14.0,109.0,114.0,114.0,1,109.0,1-09,9.0,1-14,14.0,1-14,14.0,1-09,9.0,True,5.0
4.4-4.8,109074510,7~50,14.0,57.0,57.0,16,57.0,4.071428571428571,,114.0,412.0,412.0,3,409.0,1-14,14.0,4-12,57.0,4-12,57.0,4-09,54.0,False,43.0
4.4-4.8,109074547,1~7,12.0,24.0,24.0,8,24.0,4.0,,112.0,209.0,209.0,3,209.0,1-12,12.0,2-09,24.0,2-09,24.0,2-09,24.0,False,12.0
4.4-4.8,109074630,7~50,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109074766,1~7,9.0,19.0,19.0,19,19.0,1.1875,,109.0,204.0,204.0,10,204.0,1-09,9.0,2-04,19.0,2-04,19.0,2-04,19.0,False,10.0
4.4-4.8,109074910,1~7,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
4.4-4.8,109074927,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109075043,7~50,12.0,24.0,24.0,5,24.0,4.8,24.0,112.0,209.0,209.0,2,209.0,1-12,12.0,2-09,24.0,2-09,24.0,2-09,24.0,True,12.0
4.4-4.8,109075056,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109075152,50~100,10.0,65.0,65.0,19,64.0,3.5555555555555554,,110.0,505.0,505.0,2,214.0,1-10,10.0,5-05,65.0,5-05,65.0,2-14,29.0,False,55.0
4.4-4.8,109075176,1~7,13.0,14.0,14.0,3,13.0,6.5,14.0,113.0,114.0,114.0,2,113.0,1-13,13.0,1-14,14.0,1-14,14.0,1-13,13.0,True,1.0
4.4-4.8,109075265,7~50,12.0,31.0,31.0,9,31.0,3.4444444444444446,,112.0,301.0,301.0,3,209.0,1-12,12.0,3-01,31.0,3-01,31.0,2-09,24.0,False,19.0
4.4-4.8,109075276,1~7,3.0,3.0,3.0,2,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
4.4-4.8,109075287,1~7,7.0,7.0,7.0,1,7.0,7.0,7.0,107.0,107.0,107.0,1,107.0,1-07,7.0,1-07,7.0,1-07,7.0,1-07,7.0,True,0.0
4.4-4.8,109075411,7~50,12.0,21.0,21.0,14,20.0,1.8181818181818181,,112.0,206.0,206.0,6,204.0,1-12,12.0,2-06,21.0,2-06,21.0,2-04,19.0,False,9.0
4.4-4.8,109075499,1~7,12.0,32.0,32.0,13,21.0,2.3333333333333335,20.0,112.0,302.0,302.0,3,203.0,1-12,12.0,3-02,32.0,3-02,32.0,2-03,18.0,True,20.0
4.4-4.8,109075568,1~7,4.0,4.0,4.0,2,4.0,2.0,4.0,104.0,104.0,104.0,2,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109075575,7~50,12.0,19.0,19.0,10,19.0,2.375,,112.0,204.0,204.0,2,112.0,1-12,12.0,2-04,19.0,2-04,19.0,1-12,12.0,False,7.0
4.4-4.8,109075792,100~300,15.0,74.0,74.0,10,74.0,7.4,,115.0,514.0,514.0,2,514.0,1-15,15.0,5-14,74.0,5-14,74.0,5-14,74.0,False,59.0
4.4-4.8,109075851,1~7,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
4.4-4.8,109075868,1~7,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,0.0
4.4-4.8,109075918,7~50,12.0,14.0,14.0,2,14.0,7.0,14.0,112.0,114.0,114.0,1,112.0,1-12,12.0,1-14,14.0,1-14,14.0,1-12,12.0,True,2.0
4.4-4.8,109075946,7~50,15.0,19.0,19.0,3,19.0,9.5,19.0,115.0,204.0,204.0,1,115.0,1-15,15.0,2-04,19.0,2-04,19.0,1-15,15.0,True,4.0
4.4-4.8,109076014,7~50,,32.0,32.0,22,17.0,0.8095238095238095,,115.0,302.0,302.0,7,215.0,1-15,15.0,3-02,32.0,3-02,32.0,2-15,30.0,False,
